date,mode,patronage
2025-07-01 00:00:00,Metropolitan Bus,9573219
2025-07-01 00:00:00,Metropolitan Train,15451503
2025-07-01 00:00:00,Metropolitan Tram,12651420
2025-07-01 00:00:00,Regional Bus,956183
2025-07-01 00:00:00,V/Line Coach,113079
2025-07-01 00:00:00,V/Line Train,2222082
2025-08-01 00:00:00,Metropolitan Bus,9969102
2025-08-01 00:00:00,Metropolitan Train,16189046
2025-08-01 00:00:00,Metropolitan Tram,12233414
2025-08-01 00:00:00,Regional Bus,990904
2025-08-01 00:00:00,V/Line Coach,106863
2025-08-01 00:00:00,V/Line Train,2230571
2025-09-01 00:00:00,Metropolitan Bus,9143531
2025-09-01 00:00:00,Metropolitan Train,14998479
2025-09-01 00:00:00,Metropolitan Tram,11515404
2025-09-01 00:00:00,Regional Bus,940369
2025-09-01 00:00:00,V/Line Coach,105410
2025-09-01 00:00:00,V/Line Train,2136275
2025-10-01 00:00:00,Metropolitan Bus,10077976
2025-10-01 00:00:00,Metropolitan Train,15977164
2025-10-01 00:00:00,Metropolitan Tram,12402127
2025-10-01 00:00:00,Regional Bus,1117069
2025-10-01 00:00:00,V/Line Coach,118470
2025-10-01 00:00:00,V/Line Train,2286247
2025-11-01 00:00:00,Metropolitan Bus,8815809
2025-11-01 00:00:00,Metropolitan Train,14297664
2025-11-01 00:00:00,Metropolitan Tram,12265500
2025-11-01 00:00:00,Regional Bus,936233
2025-11-01 00:00:00,V/Line Coach,107793
2025-11-01 00:00:00,V/Line Train,2060472
2025-12-01 00:00:00,Metropolitan Bus,8281774
2025-12-01 00:00:00,Metropolitan Train,14894850
2025-12-01 00:00:00,Metropolitan Tram,12069311
2025-12-01 00:00:00,Regional Bus,895411
2025-12-01 00:00:00,V/Line Coach,122578
2025-12-01 00:00:00,V/Line Train,2157499
2026-01-01 00:00:00,Metropolitan Bus,7624940
2026-01-01 00:00:00,Metropolitan Train,14263509
2026-01-01 00:00:00,Metropolitan Tram,12454180
2026-01-01 00:00:00,Regional Bus,771902
2026-01-01 00:00:00,V/Line Coach,110891
2026-01-01 00:00:00,V/Line Train,1604510
2026-02-01 00:00:00,Metropolitan Bus,8978955
2026-02-01 00:00:00,Metropolitan Train,15646464
2026-02-01 00:00:00,Metropolitan Tram,12568329
2026-02-01 00:00:00,Regional Bus,970908
2026-02-01 00:00:00,V/Line Coach,98580
2026-02-01 00:00:00,V/Line Train,2009524
2026-03-01 00:00:00,Metropolitan Bus,10566169
2026-03-01 00:00:00,Metropolitan Train,19839890
2026-03-01 00:00:00,Metropolitan Tram,14693923
2026-03-01 00:00:00,Regional Bus,1142533
2026-03-01 00:00:00,V/Line Coach,128047
2026-03-01 00:00:00,V/Line Train,2563042
2026-04-01 00:00:00,Metropolitan Bus,10494458
2026-04-01 00:00:00,Metropolitan Train,22346784
2026-04-01 00:00:00,Metropolitan Tram,14820403
2026-04-01 00:00:00,Regional Bus,981510
2026-04-01 00:00:00,V/Line Coach,153998
2026-04-01 00:00:00,V/Line Train,2952841
2026-05-01 00:00:00,Metropolitan Bus,10995277
2026-05-01 00:00:00,Metropolitan Train,21639441
2026-05-01 00:00:00,Metropolitan Tram,15092960
2026-05-01 00:00:00,Regional Bus,1098646
2026-05-01 00:00:00,V/Line Coach,142874
2026-05-01 00:00:00,V/Line Train,2610488
2026-06-01 00:00:00,Metropolitan Bus,10013073
2026-06-01 00:00:00,Metropolitan Train,16766074
2026-06-01 00:00:00,Metropolitan Tram,12536551
2026-06-01 00:00:00,Regional Bus,1187220
2026-06-01 00:00:00,V/Line Coach,83590
2026-06-01 00:00:00,V/Line Train,2270352
